ID,Target,Question,Correct Answer,Distractor 1,Distractor 2,Distractor 3,D1,D2,D3,notes
242,rosy,"After spending the day hiking in the mountains, her cheeks looked <blank> and healthy.",rosy,pale,dull,gray,0,0,0,
243,royal,The castle was built to serve as a <blank> residence for the king and queen.,royal,public,modern,temporary,0,0,1,more than one answer
244,sanction,The government decided to impose a <blank> on the company for violating environmental laws.,sanction,reward,permit,discount,0,0,0,
245,savage,The explorers were warned about the <blank> animals that lived in the dense jungle.,savage,gentle,friendly,timid,0,0,0,
246,scan,"Before entering the building, you need to <blank> your ID card at the security desk.",scan,write,show,copy,0,1,0,more than one answer
247,sensible,"It’s important to make a <blank> decision when choosing a career path, as it can affect your future.",sensible,reckless,random,emotional,0,0,1,a/an issue
248,sensitive,"He is very <blank> to criticism, so please be careful with your words.",sensitive,confident,careless,indifferent,0,0,0,
249,sheer,"The hikers were amazed by the <blank> size of the mountain, which seemed to rise endlessly into the sky.",sheer,tiny,moderate,narrow,0,0,0,
250,simultaneous,"The two events were <blank>, happening at exactly the same time in different locations.",simultaneous,separate,delayed,random,0,0,0,
251,smear,The child accidentally made a <blank> of paint on the wall while playing with the brushes.,smear,scratch,stain,mark,0,1,1,more than one answer
252,soar,"As the sun set, we watched the birds <blank> high into the sky, disappearing into the clouds.",soar,crawl,sink,stumble,0,0,0,
253,sober,"After the party, he decided to stay <blank> and drink only water.",sober,drunk,tired,confused,0,0,0,
254,solemn,The atmosphere in the room was <blank> as everyone gathered to pay their respects during the ceremony.,solemn,cheerful,chaotic,casual,0,0,0,
255,sore,"After running the marathon, my legs felt very <blank> and I could barely walk.",sore,strong,relaxed,numb,0,0,1,more than one answer
256,sovereign,"The country declared itself a <blank> state, free from any external control or influence.",sovereign,dependent,subordinate,restricted,0,0,0,
257,spectacle,The fireworks display was such an amazing <blank> that everyone in the crowd was left speechless.,spectacle,incident,routine,mystery,0,0,0,
258,spectacular,"The view from the top of the mountain was absolutely <blank>, with the sunset painting the sky in vibrant colors.",spectacular,ordinary,boring,dull,0,0,0,
259,speculate,"Without enough evidence, we can only <blank> about what might have happened.",speculate,confirm,ignore,describe,0,0,0,
260,splendor,"The palace was known for its incredible <blank>, attracting visitors from all over the world.",splendor,simplicity,darkness,poverty,1,0,0,more than one answer
261,stab,"The thief tried to <blank> the man with a knife, but he was stopped by the police in time.",stab,hit,push,grab,0,0,0,
262,stale,The bread was left out for too long and now it tastes <blank>.,stale,fresh,soft,sweet,0,0,0,
263,static,The image on the screen remained <blank> even after adjusting the settings.,static,dynamic,blurry,vivid,0,1,0,more than one answer
264,stem,The <blank> of the plant is usually green and supports the leaves and flowers.,stem,root,branch,trunk,0,1,0,more than one answer
265,stern,The teacher gave the students a <blank> warning about the importance of completing their homework on time.,stern,gentle,casual,vague,1,1,1,more than one answer
266,subdue,The firefighters worked hard to <blank> the flames before they spread to nearby houses.,subdue,ignite,provoke,release,0,0,0,
267,subject,"In school, my favorite <blank> is mathematics because I enjoy solving problems.",subject,object,topic,lesson,0,0,1,more than one answer
268,substantial,"The new policy will bring <blank> changes to the way the company operates, affecting all departments.",substantial,minor,temporary,insignificant,0,0,0,
269,subtract,"To find the correct answer, you need to <blank> the smaller number from the larger one.",subtract,add,multiply,divide,0,0,1,more than one answer
270,supervision,The children were playing safely under the <blank> of their teacher during the school trip.,supervision,attention,observation,guidance,0,0,1,more than one answer
271,surpass,The new smartphone model is expected to <blank> the previous one in terms of speed and performance.,surpass,match,reduce,delay,1,0,0,more than one answer
272,symptom,"If you have a fever and a sore throat, these could be a <blank> of the flu.",symptom,solution,cure,cause,0,0,0,
273,tame,The lion in the zoo is very calm because it has been <blank> by its trainers.,tame,wild,fierce,dangerous,0,0,0,
274,tender,The meat was so <blank> that it practically melted in my mouth.,tender,tough,dry,hard,0,0,0,
275,tentative,"The meeting schedule is still <blank>, as we are waiting for confirmation from all participants.",tentative,final,permanent,definite,0,0,0,
276,terrific,"The view from the top of the mountain was absolutely <blank>, and we couldn't stop taking pictures.",terrific,ordinary,boring,terrible,0,0,0,
277,testimony,The lawyer presented the witness's <blank> in court to support his case.,testimony,opinion,story,argument,1,1,1,more than one answer
278,torture,The movie was so scary that watching it felt like <blank> for some of the audience.,torture,pleasure,relief,comfort,0,0,0,
279,transmission,The <blank> of information from one person to another is essential for effective communication.,transmission,translation,transportation,transformation,0,0,0,
280,trespass,"The sign on the fence clearly says 'No <blank>,' so we should not enter the private property.",trespass,access,permission,entry,1,0,1,more than one answer
281,tribute,The statue was built as a <blank> to honor the soldiers who fought in the war.,tribute,symbol,reminder,gift,1,1,0,more than one answer
282,triumph,"Winning the championship was a great <blank> for the team, as they had worked so hard all season.",triumph,failure,struggle,mistake,0,0,0,
283,trivial,The teacher reminded the students not to waste time on <blank> details and to focus on the main points of the lesson.,trivial,important,complex,relevant,0,1,0,more than one answer
284,tyranny,The citizens fought bravely to end the <blank> that had controlled their country for decades.,tyranny,freedom,democracy,justice,0,0,0,
285,unanimous,"The decision to build the new park was <blank>, as everyone agreed it was a great idea.",unanimous,controversial,divided,uncertain,0,0,0,
286,undo,"If you make a mistake while typing, you can always <blank> it by pressing the correct button.",undo,repeat,delete,skip,0,0,0,
287,undue,The teacher reminded the students to avoid placing <blank> pressure on themselves before the exams.,undue,extreme,necessary,limited,1,0,0,more than one answer
288,upset,She looked very <blank> after hearing the bad news about her exam results.,upset,excited,relaxed,confused,0,0,1,more than one answer
289,urge,The teacher tried to <blank> the students to participate in the charity event by explaining its importance.,urge,ignore,discourage,prevent,0,0,0,
290,utter,He was so nervous during the interview that he could barely <blank> a single word.,utter,write,shout,whisper,0,0,0,
291,vague,The instructions he gave were so <blank> that nobody knew exactly what to do.,vague,clear,specific,detailed,0,0,0,
292,variation,The teacher explained that there is often a slight <blank> in the way people pronounce the same word in different regions.,variation,confusion,repetition,translation,0,0,0,
293,veil,The bride wore a beautiful white dress and a delicate <blank> over her face during the ceremony.,veil,scarf,hat,mask,0,0,0,
294,vicinity,"There are several good restaurants in the <blank> of the hotel, so you don’t need to travel far for a meal.",vicinity,center,distance,region,1,0,0,more than one answer
295,vicious,"The dog became <blank> when it felt threatened, growling and baring its teeth.",vicious,friendly,calm,playful,0,0,0,
296,vigor,"After a good night's sleep, she woke up feeling full of <blank> and ready to start the day.",vigor,laziness,confusion,sadness,0,0,0,
297,vocation,"She always felt that teaching was her true <blank>, as it brought her immense joy and satisfaction.",vocation,hobby,habit,occupation,0,0,1,
298,wanting,"After the long hike, she was really <blank> a cold drink to refresh herself.",wanting,avoiding,ignoring,rejecting,0,0,0,
299,witness,The police are looking for someone who was a <blank> to the accident and can provide more information.,witness,suspect,victim,offender,0,0,1,a/an issue
300,wreck,The divers discovered the <blank> of an old ship at the bottom of the ocean.,wreck,treasure,map,island,1,0,0,more than one answer
